年龄,年收入,贷款金额,信用评分,工作年限,负债率,有房产,有车,违约
28,30000,11686,831,7,0.48,0,1,0
32,30000,23000,609,0,0.56,1,1,1
38,30000,20299,615,19,0.13,1,0,0
32,30000,13102,694,6,0.25,0,1,0
22,30000,17154,605,3,0.09,1,1,0
38,30000,12134,703,4,0.38,0,0,0
27,30000,14733,592,0,0.2,1,0,0
42,30000,5000,796,4,0.48,1,1,0
28,30000,17621,677,0,0.0,0,0,0
53,30000,5000,600,3,0.04,0,1,0
30,30000,20158,602,4,0.3,0,1,0
34,30000,20323,608,10,0.67,0,0,1
46,30000,7978,759,6,0.62,1,1,0
25,30000,9796,548,1,0.7,1,0,0
40,30000,13107,596,10,0.29,1,0,0
51,30000,15529,605,4,0.03,1,0,0
22,30000,9034,648,4,0.21,0,1,0
39,30000,15442,628,0,0.47,0,0,1
40,30000,9253,530,9,0.09,1,1,0
45,30000,5000,618,13,0.21,1,0,0
25,30000,5000,642,7,0.04,1,0,0
24,30000,5124,599,14,0.33,1,0,0
43,30000,19637,704,1,0.15,0,1,0
40,30000,23190,723,9,0.06,0,1,0
40,30000,11966,643,3,0.29,1,1,0
41,30000,13766,668,0,0.25,0,0,0
31,30000,6083,477,5,0.38,1,0,0
40,30000,14571,616,5,0.52,0,1,0
40,30000,6037,730,1,0.08,0,0,0
30,30000,15835,616,0,0.55,0,0,1
56,30000,22598,591,1,0.02,1,0,0
42,30000,7109,832,2,0.31,1,1,0
26,30000,19055,795,0,0.41,0,1,0
44,30000,5000,687,1,0.67,0,0,1
28,30000,10885,741,2,0.4,1,1,0
45,30000,5325,471,16,0.11,0,1,0
49,30000,10401,586,7,0.36,0,0,0
29,30000,6644,612,1,0.28,0,0,0
47,30000,10839,631,15,0.34,0,1,0
42,30000,11767,610,5,0.14,1,1,0
46,30000,9312,445,3,0.35,0,0,0
56,30000,16789,680,3,0.11,0,1,0
35,30000,22295,693,2,0.52,0,1,1
30,30000,11412,778,1,0.42,0,1,0
29,30000,7039,586,2,0.05,1,0,0
29,30000,8685,580,3,0.62,0,0,0
37,30000,20934,435,3,0.43,1,1,0
41,30000,15004,626,7,0.22,0,1,0
40,30000,12555,722,2,0.03,1,0,0
46,30000,6142,601,6,0.44,1,1,0
38,30000,12444,821,4,0.26,0,1,0
52,30000,8848,629,16,0.64,1,1,0
35,30000,22806,661,2,0.02,0,0,0
65,30000,21565,540,11,0.03,0,1,0
44,30000,5000,672,8,0.66,0,1,1
29,30000,13849,491,5,0.68,0,0,1
27,30000,7726,705,5,0.02,0,0,0
42,30000,11626,707,0,0.5,0,0,0
35,30000,21413,758,15,0.16,0,1,0
45,30000,14077,568,0,0.49,1,0,0
42,30000,10018,662,4,0.61,0,1,1
37,30000,7365,695,2,0.07,0,1,0
29,30000,19806,685,2,0.17,0,1,0
22,30000,16114,580,4,0.02,0,1,0
33,30000,12829,458,11,0.03,0,1,0
46,30000,7567,677,3,0.02,0,0,0
40,30000,10019,637,22,0.56,1,1,0
25,30000,23156,604,4,0.21,0,0,0
39,30000,13921,711,0,0.35,1,0,0
41,30000,11414,646,1,0.55,0,0,1
29,30000,13949,544,6,0.35,0,1,0
39,30000,19358,495,0,0.3,0,0,0
38,30000,10142,559,3,0.01,1,1,0
26,30000,6752,841,0,0.4,1,1,0
41,30000,15283,707,2,0.09,0,0,0
43,30000,16969,665,6,0.54,0,1,0
48,30000,17967,635,3,0.18,0,1,0
48,30000,21521,630,0,0.47,0,0,1
24,30000,10794,743,1,0.45,1,1,0
28,30000,5000,610,2,0.43,1,1,0
43,30000,23125,696,0,0.19,0,0,0
43,30000,12135,622,4,0.19,0,0,0
43,30000,16088,805,4,0.6,1,1,0
65,30000,16992,709,0,0.01,1,1,0
43,30000,14476,749,2,0.13,1,1,0
49,30000,7310,603,2,0.43,0,0,1
47,30000,18858,734,2,0.57,1,1,0
44,30000,19878,624,4,0.25,0,0,0
34,30000,14612,658,2,0.46,0,1,0
45,30000,13259,780,2,0.39,1,1,0
30,30000,5392,566,7,0.05,1,1,0
35,30000,5000,666,0,0.44,0,0,0
33,30000,10130,685,4,0.57,1,1,0
38,30000,9527,691,3,0.69,1,0,1
61,30000,23026,613,1,0.02,0,0,0
22,30000,19456,816,6,0.46,1,1,0
44,30000,16858,546,4,0.29,1,1,0
22,30000,13870,766,3,0.01,1,1,0
33,30000,6514,747,5,0.43,0,1,0
48,30000,23547,802,8,0.09,0,0,0
38,30000,10875,522,17,0.26,1,1,0
27,30000,5245,580,4,0.18,0,1,0
30,30000,13369,769,10,0.25,0,0,0
44,30000,21353,499,0,0.34,1,1,0
30,30000,21633,521,3,0.25,1,1,0
40,30000,5000,610,1,0.39,0,1,0
38,30000,21612,665,0,0.17,0,1,0
31,30000,8701,777,3,0.44,1,0,0
59,30000,5000,635,6,0.6,0,0,0
44,30000,20803,601,2,0.16,0,0,0
22,30000,21141,674,5,0.36,0,0,0
39,30000,15520,687,3,0.45,1,1,0
31,30000,15063,685,2,0.4,0,0,0
46,30000,20075,635,1,0.26,1,1,0
30,30000,19512,493,2,0.45,1,0,0
36,30000,21692,576,2,0.02,0,1,0
43,30000,14607,763,5,0.26,0,0,0
46,30000,23320,664,0,0.37,0,1,0
25,30000,23919,624,0,0.01,0,0,0
34,30000,5447,739,5,0.36,0,0,0
33,30000,20840,559,3,0.46,1,1,0
31,30000,13496,631,2,0.53,0,1,0
55,30000,11138,661,0,0.08,1,1,0
42,30000,15874,614,2,0.69,1,1,0
25,30000,5000,658,7,0.42,0,1,0
47,30000,13635,634,11,0.25,0,1,0
59,30000,21288,538,6,0.17,1,1,0
48,30000,7482,664,0,0.4,1,0,0
22,30000,11954,543,5,0.62,1,1,0
33,30000,22729,663,1,0.36,0,1,0
50,30000,11999,759,1,0.46,1,1,0
30,30000,10525,627,1,0.25,0,1,0
42,30000,12251,556,7,0.27,0,0,0
45,30000,13908,639,5,0.2,0,1,0
28,30000,16271,583,4,0.49,0,1,0
37,30000,19814,697,5,0.25,1,1,0
22,30000,12494,638,1,0.13,0,1,0
27,30000,20167,786,2,0.26,1,0,0
35,30000,14208,743,5,0.6,1,0,0
25,30000,10108,637,5,0.52,1,1,0
54,30000,16816,707,7,0.23,0,0,0
23,30000,18072,618,1,0.63,1,1,0
33,30000,14719,652,7,0.05,0,1,0
39,30000,5000,621,2,0.03,1,0,0
52,30000,6567,711,5,0.09,1,0,0
23,30000,8991,764,3,0.08,0,1,0
49,30000,8935,713,14,0.06,0,0,0
38,30000,17141,723,0,0.46,1,0,0
28,30000,5000,723,5,0.42,1,1,0
42,30000,18869,694,4,0.45,0,1,0
39,30000,8572,558,0,0.48,0,1,0
31,30000,9510,786,0,0.53,0,1,1
38,30000,14086,794,8,0.15,1,1,0
34,30000,7534,631,0,0.44,0,1,0
39,30000,21573,620,1,0.41,1,1,0
44,30000,5000,698,19,0.66,1,1,0
53,30000,12332,694,6,0.16,1,1,0
25,30000,20837,633,1,0.04,1,0,0
59,30000,15932,549,4,0.46,0,1,0
22,30000,9138,674,3,0.52,0,0,0
36,30000,11835,694,9,0.2,0,0,0
43,30000,17840,708,6,0.4,0,1,0
40,30000,23438,677,8,0.04,0,0,0
31,30000,21755,628,1,0.67,1,0,1
35,30000,10191,729,5,0.08,1,0,0
33,30000,23962,655,0,0.05,0,1,0
32,30000,5000,612,0,0.03,0,1,0
46,30000,5000,635,6,0.3,0,1,0
41,30000,20300,510,0,0.07,1,1,0
31,30000,7188,635,4,0.52,1,1,0
46,30000,5000,705,9,0.63,0,1,1
41,30000,7980,677,2,0.18,1,0,0
46,30000,11948,771,0,0.44,0,1,0
44,30000,18341,628,6,0.03,0,0,0
29,30000,16111,688,13,0.27,0,0,0
32,30000,7990,713,6,0.21,1,1,0
45,30000,13568,837,4,0.16,0,1,0
44,30000,22450,661,1,0.45,0,1,0
37,30000,20115,566,0,0.09,0,0,0
39,30000,9786,717,5,0.6,0,0,1
50,30000,23627,799,1,0.47,1,0,0
32,30000,17881,624,9,0.5,0,1,0
43,30000,5000,717,3,0.65,1,1,0
35,30000,5000,748,3,0.66,0,1,1
35,30000,6536,731,7,0.39,0,1,0
48,30000,18284,660,7,0.35,0,1,0
46,30000,6858,594,5,0.23,0,0,0
46,30000,13741,643,13,0.5,0,1,0
51,30000,5000,686,20,0.38,0,1,0
38,30000,22338,722,14,0.65,1,1,0
44,30000,10223,676,8,0.17,1,0,0
34,30000,22070,619,6,0.22,1,1,0
41,30000,22842,694,5,0.22,0,0,0
36,30000,5000,718,0,0.56,0,1,0
38,30000,12746,680,1,0.07,0,1,0
43,30000,5000,583,0,0.32,1,0,0
29,30000,22082,635,0,0.3,1,0,0
58,30000,13886,725,2,0.05,1,1,0
27,30000,5000,539,0,0.29,0,1,0
25,30000,5315,482,11,0.36,0,1,0
49,30000,11053,770,8,0.05,0,1,0
45,30000,22744,690,0,0.36,0,1,0
44,30000,17551,698,1,0.67,0,0,1
44,30000,21219,563,8,0.69,0,1,1
37,30000,10695,709,8,0.37,0,1,0
29,30000,5000,672,14,0.36,0,0,0
38,30000,23460,523,30,0.2,0,0,0
31,30000,5000,763,18,0.7,1,0,0
47,30000,22900,662,2,0.19,0,0,0
36,30000,10742,618,1,0.32,0,1,0
29,30000,5000,619,7,0.0,1,0,0
34,30000,17472,488,1,0.24,1,1,0
42,30000,23591,697,8,0.05,0,1,0
32,30000,23278,670,3,0.52,1,0,0
29,30000,6379,634,7,0.39,0,0,0
40,30000,6806,752,1,0.4,0,1,0
40,30000,14876,539,3,0.2,0,0,0
32,30000,16383,602,4,0.57,0,0,1
33,30000,18527,581,14,0.0,1,0,0
40,30000,6802,627,1,0.23,0,0,0
23,30000,23139,655,13,0.46,0,0,1
23,30000,16413,684,8,0.64,1,0,1
30,30000,20787,622,6,0.16,0,1,0
35,30000,14341,579,7,0.38,1,0,0
41,30000,11699,784,4,0.38,0,1,0
52,30000,23520,842,1,0.61,0,0,0
46,30000,15224,661,1,0.04,0,0,0
36,30000,21204,589,10,0.3,1,1,0
37,30000,23019,768,6,0.13,1,0,0
27,30000,17182,534,1,0.02,0,0,0
37,30000,14527,623,4,0.1,0,1,0
35,30000,5000,594,2,0.68,1,0,1
41,30000,5000,557,0,0.15,1,1,0
29,30000,7217,627,3,0.65,1,0,1
43,30000,6906,580,1,0.14,0,0,0
53,30000,8349,651,0,0.65,1,0,1
36,30000,9403,652,3,0.46,0,1,0
42,30000,10561,600,4,0.08,1,1,0
44,30000,11831,620,0,0.41,0,1,0
33,30000,5076,631,2,0.22,1,1,0
40,30000,5000,714,1,0.27,0,1,0
38,30000,17152,638,0,0.31,1,1,0
38,30000,14284,715,0,0.3,1,1,0
30,30000,12327,696,0,0.46,1,1,0
38,30000,16323,695,1,0.54,1,0,0
42,30000,20381,761,8,0.23,1,1,0
52,30000,11981,560,2,0.65,1,1,1
47,30000,16463,612,0,0.66,0,0,1
59,30000,23025,791,0,0.03,0,1,0
30,30000,20632,629,1,0.01,1,1,0
46,30000,11946,424,7,0.3,1,0,0
39,30000,16539,633,2,0.41,0,1,0
59,30000,6718,660,0,0.19,1,1,0
29,30000,14770,440,2,0.18,0,1,0
29,30000,23607,756,4,0.47,0,0,0
32,30000,13884,592,0,0.42,1,0,0
22,30000,22480,676,4,0.12,1,0,0
32,30000,11554,631,2,0.62,1,0,0
30,30000,23975,546,0,0.48,1,1,0
39,30000,15163,564,5,0.25,0,1,0
41,30000,5000,575,6,0.48,0,1,1
56,30000,15321,736,4,0.08,1,0,0
47,30000,8766,638,2,0.33,1,0,0
32,30000,5000,608,3,0.12,0,1,0
29,30000,20237,575,2,0.03,1,1,0
42,30000,8790,745,6,0.24,1,1,0
24,30000,19727,767,4,0.11,1,1,0
56,30000,9052,744,0,0.44,1,1,0
49,30000,7080,689,5,0.47,0,0,1
33,30000,23452,673,5,0.1,0,1,0
22,30000,10594,552,2,0.02,1,0,0
51,30000,15628,630,10,0.55,1,1,0
36,30000,15809,595,9,0.0,0,1,0
50,30000,14769,503,0,0.24,1,1,0
22,30000,22208,734,11,0.35,1,0,0
32,30000,17163,594,2,0.57,0,1,1
38,30000,11478,745,6,0.59,1,0,0
38,30000,21109,720,8,0.51,0,0,0
33,30000,6802,694,3,0.17,0,1,0
44,30000,14428,699,2,0.5,1,1,0
27,30000,22961,600,12,0.17,0,1,0
36,30000,16133,798,1,0.15,0,1,0
39,30000,20156,653,1,0.38,1,0,0
43,30000,16724,674,2,0.48,1,0,0
45,30000,20626,598,9,0.04,0,0,0
26,30000,22834,575,13,0.04,0,1,0
22,30000,8731,688,1,0.55,0,0,0
50,30000,6562,667,9,0.6,1,1,0
41,30000,13163,586,1,0.42,0,1,0
30,30000,17739,534,17,0.3,0,1,0
53,30000,7771,548,4,0.59,0,1,1
39,30000,5000,745,0,0.51,0,0,1
49,30000,10201,600,0,0.41,0,1,0
38,30000,23346,622,0,0.22,0,1,0
58,30000,17594,766,1,0.14,1,1,0
55,30000,11427,560,7,0.29,1,0,0
35,30000,7044,591,1,0.2,0,0,0
47,30000,10477,588,17,0.24,1,1,0
44,30000,6566,779,5,0.36,1,0,0
51,30000,5232,809,5,0.12,0,1,0
28,30000,22041,710,1,0.56,0,0,1
44,30000,23950,712,11,0.1,0,1,0
48,30000,6446,603,5,0.34,1,1,0
22,30000,5000,805,9,0.52,1,1,0
26,30000,9924,671,15,0.34,1,1,0
22,30000,12694,718,0,0.25,1,1,0
35,30000,7301,641,0,0.33,1,1,0
45,30000,9329,628,8,0.59,1,1,0
53,30000,7218,783,10,0.69,1,0,1
38,30000,19259,693,4,0.44,0,0,1
54,30000,17964,766,2,0.56,0,0,1
24,30000,16333,670,5,0.01,1,0,0
22,30000,11131,582,1,0.62,1,1,0
37,30000,22089,603,1,0.67,0,1,1
41,30000,23360,658,3,0.4,1,1,0
37,30000,6646,599,1,0.53,1,0,0
22,30000,7683,561,3,0.36,1,0,0
37,30000,14038,746,15,0.2,0,1,0
24,30000,5000,606,9,0.6,1,1,0
44,30000,12165,661,14,0.42,0,1,0
41,30000,15217,673,8,0.41,0,1,0
28,30000,13963,602,2,0.46,1,1,0
32,30000,9949,766,8,0.6,1,1,0
27,30000,14391,560,12,0.51,0,1,1
37,30000,23134,670,14,0.15,1,1,0
47,30000,7326,669,5,0.33,0,0,0
28,30000,16751,645,1,0.69,1,1,1
43,30000,5000,546,0,0.39,1,1,0
32,30000,5000,719,0,0.66,0,0,1
30,30000,14588,709,16,0.57,0,0,0
36,30000,5203,595,3,0.47,1,1,0
27,30000,5000,706,9,0.24,0,1,0
32,30000,6601,679,3,0.21,0,1,0
26,30000,14861,547,5,0.45,0,0,1
57,30000,17770,581,0,0.3,0,1,0
38,30000,7252,741,1,0.56,1,0,0
31,30000,17033,674,2,0.53,0,1,0
40,30000,6832,604,4,0.22,1,1,0
36,30000,15882,581,0,0.49,0,1,0
35,30000,11651,608,7,0.35,1,0,0
44,30000,16729,614,2,0.23,1,0,0
45,30000,23896,582,8,0.29,0,0,0
32,30000,22694,510,0,0.63,1,1,1
32,30000,5000,741,5,0.25,0,0,0
35,30000,21594,727,1,0.2,1,0,0
22,30000,5000,548,7,0.25,1,1,0
22,30000,23013,660,2,0.15,1,1,0
51,30000,8918,577,5,0.38,1,0,0
54,30000,11022,629,13,0.1,0,0,0
35,30000,5000,622,0,0.57,0,1,0
43,30000,5357,615,0,0.16,0,1,0
41,30000,18261,810,7,0.42,1,1,0
65,30000,22830,614,5,0.09,1,0,0
49,30000,15825,585,1,0.68,0,1,1
36,30000,18032,588,3,0.32,0,1,0
28,30000,19001,733,0,0.58,0,1,0
22,30000,8519,517,1,0.54,0,0,1
40,30000,5000,588,2,0.5,0,0,1
30,30000,5000,765,8,0.58,1,1,0
23,30000,10363,669,3,0.07,1,1,0
31,30000,8070,665,4,0.47,1,1,0
27,30000,5000,820,10,0.19,1,0,0
54,30000,6770,669,1,0.55,1,1,0
46,30000,5614,593,6,0.67,1,0,0
37,30000,22212,627,9,0.63,0,0,1
52,30000,5945,559,1,0.08,0,1,0
38,30000,14290,750,2,0.26,0,0,0
29,30000,15455,695,19,0.26,1,0,0
53,30000,14413,739,20,0.09,1,1,0
43,30000,5080,747,1,0.07,1,0,0
27,30000,9694,616,0,0.27,1,1,0
36,30000,5000,574,1,0.69,0,1,1
29,30000,11309,645,2,0.4,1,1,0
24,30000,6960,580,2,0.44,1,1,0
47,30000,14794,663,4,0.33,1,1,0
57,30000,17548,740,11,0.46,1,0,0
24,30000,14174,636,2,0.67,1,1,0
43,30000,12118,661,9,0.41,0,1,0
31,30000,11134,642,0,0.05,0,0,0
33,30000,20675,714,0,0.35,1,1,0
32,30000,7606,596,3,0.69,1,0,1
29,30000,18418,474,0,0.27,0,0,0
38,30000,18907,687,2,0.42,1,0,0
29,30000,11803,729,11,0.07,1,0,0
40,30000,9243,685,1,0.1,0,1,0
37,30000,12881,598,6,0.61,0,1,1
35,30000,5000,559,1,0.21,0,1,0
28,30000,5000,689,0,0.21,0,1,0
32,30000,5343,661,4,0.27,0,1,0
45,30000,6930,639,9,0.68,0,1,1
43,30000,13587,795,2,0.06,0,1,0
28,30000,20831,574,4,0.57,1,0,0
38,30000,7948,792,11,0.24,1,1,0
45,30000,22638,652,7,0.59,1,1,1
22,30000,23053,503,1,0.69,1,1,0
43,30000,23136,635,6,0.24,1,1,0
31,30000,20588,726,3,0.09,1,1,0
43,30000,10640,620,6,0.1,1,1,0
30,30000,5000,532,3,0.53,0,1,1
22,30000,14945,636,0,0.1,1,1,0
22,30000,14732,581,4,0.18,1,0,0
38,30000,20849,689,3,0.14,0,0,0
40,30000,23915,711,3,0.25,0,1,0
28,30000,13671,565,10,0.05,1,0,0
44,30000,10249,593,11,0.6,0,0,1
22,30000,6903,710,3,0.6,0,1,1
37,30000,5000,581,3,0.29,1,1,0
25,30000,13691,563,3,0.43,1,1,0
31,30000,14665,555,3,0.45,1,1,0
38,30000,20323,678,15,0.52,1,1,0
29,30000,13596,674,5,0.36,1,1,0
34,30000,22245,595,1,0.36,0,1,0
48,30000,16189,650,3,0.44,1,1,0
32,30000,20647,772,4,0.49,0,0,0
46,30000,6114,572,5,0.24,1,1,0
26,30000,20962,493,4,0.23,0,1,0
43,30000,17178,686,0,0.19,0,0,0
52,30000,6574,641,0,0.38,0,1,0
22,30000,6985,593,2,0.25,1,1,0
30,30000,22456,702,2,0.38,1,0,0
43,30000,5000,717,0,0.28,0,1,0
35,30000,12713,473,8,0.59,0,0,1
41,30000,9582,597,2,0.05,1,0,0
31,30000,16966,835,12,0.4,1,1,0
38,30000,20632,696,0,0.4,0,1,0
36,30000,10567,704,0,0.27,0,0,0
49,30000,11964,743,3,0.29,0,1,0
40,30000,23620,651,1,0.56,1,0,0
41,30000,19462,713,13,0.2,0,0,0
33,30000,21841,707,0,0.61,0,0,0
33,30000,12214,693,2,0.63,0,0,1
33,30000,7915,624,13,0.46,1,0,0
41,30000,11649,663,2,0.54,1,1,0
33,30000,18037,602,0,0.43,1,0,0
40,30000,5298,651,1,0.37,1,0,0
58,30000,8679,556,3,0.68,1,1,0
46,30000,5000,586,1,0.2,0,0,0
34,30000,12079,627,3,0.11,1,1,0
50,30000,20376,574,9,0.2,0,1,0
33,30000,5000,609,10,0.43,1,0,0
22,30000,17181,636,0,0.13,1,1,0
27,30000,22582,682,0,0.64,1,0,1
22,30000,7975,725,1,0.29,1,0,0
34,30000,17566,612,4,0.59,1,0,0
38,30000,23477,756,2,0.17,1,1,0
54,30000,23207,725,9,0.22,0,1,0
41,30000,7933,690,6,0.04,1,1,0
35,30000,5106,662,0,0.18,0,1,0
46,30000,6113,675,4,0.34,1,1,0
22,30000,17742,744,0,0.66,0,0,0
40,30000,18240,747,1,0.27,0,1,0
45,30000,17158,756,0,0.45,1,1,0
23,30000,10057,653,0,0.3,0,1,0
49,30000,6565,694,4,0.03,0,0,0
41,30000,15195,757,4,0.35,1,1,0
33,30000,13157,600,0,0.05,1,0,0
44,30000,18305,624,23,0.62,0,1,0
60,30000,12268,651,2,0.53,1,0,0
39,30000,10111,721,0,0.27,1,1,0
40,30000,9163,723,0,0.45,1,0,0
33,30000,7440,631,4,0.08,1,1,0
29,30000,8580,529,19,0.49,0,0,0
46,30000,5000,669,4,0.58,0,1,0
29,30000,10283,576,14,0.58,0,1,0
38,30000,5000,530,2,0.2,0,0,0
33,30000,6914,548,2,0.18,0,1,0
42,30000,18682,676,3,0.36,0,0,0
41,30000,9834,758,5,0.68,1,1,0
48,30000,17032,653,2,0.64,1,1,0
32,30000,18054,666,9,0.25,1,0,0
35,30000,15204,744,0,0.55,0,1,0
28,30000,23132,526,2,0.64,0,0,1
33,30000,5000,691,3,0.18,1,0,0
41,30000,18511,649,4,0.58,0,0,1
45,30000,23134,695,1,0.19,1,0,0
28,30000,21107,611,2,0.24,1,1,0
46,30000,6525,584,3,0.14,0,1,0
51,30000,9863,661,5,0.35,0,1,0
42,30000,6621,781,7,0.59,0,0,0
56,30000,15627,718,6,0.37,0,1,0
30,30000,17955,609,2,0.09,0,0,0
25,30000,9658,542,37,0.18,0,0,0
22,30000,14329,515,9,0.39,1,1,0
52,30000,17509,755,1,0.41,0,1,0
44,30000,11848,573,1,0.4,1,1,0
37,30000,20934,623,1,0.05,0,1,0
40,30000,19202,755,3,0.53,0,0,0
26,30000,5000,520,9,0.64,0,0,1
62,30000,16043,769,7,0.36,0,1,0
39,30000,7941,629,9,0.5,0,1,0
39,30000,14707,558,1,0.64,0,0,1
45,30000,23094,630,4,0.45,0,1,0
42,30000,21460,592,1,0.47,0,1,1
40,30000,11494,685,0,0.5,1,1,0
30,30000,9121,598,5,0.18,1,0,0
42,30000,7922,497,0,0.41,0,1,0
56,30000,14182,632,5,0.59,0,0,1
51,30000,5399,541,5,0.21,1,0,0
53,30000,14534,666,8,0.63,1,1,0
32,30000,5000,555,0,0.43,1,1,0
28,30000,9800,610,7,0.3,0,1,0
36,30000,7618,664,36,0.44,0,0,0
38,30000,23395,633,9,0.28,1,1,0
48,30000,18272,670,6,0.59,1,0,0
22,30000,10342,704,5,0.34,0,1,0
53,30000,5000,557,2,0.63,1,0,1
